filted_data_dict 3893 3893
day, prev_pody, prev_HL, prev_body_pct, cur_position_above, cur_position_below, today_profit
2008-10-21 , -7.383999999999986 , 8.557999999999993 , -86 , 7 , 109 , -8451.999999999998
2008-10-22 , -8.451999999999998 , 10.024000000000001 , -84 , 16 , 41 , -921.999999999997
2008-10-23 , -0.921999999999997 , 5.7830000000000155 , -15 , 32 , 325 , -7861.9999999999945
2008-10-24 , -7.861999999999995 , 20.703000000000003 , -37 , 0 , 0 , -14.999999999986358
2008-10-26 , -0.4720000000000084 , 0.4720000000000084 , -100 , 343 , 1429 , -3715.99999999998
2008-10-27 , -3.7159999999999798 , 8.37100000000001 , -44 , 143 , 15 , 11621.00000000001
2008-10-28 , 11.62100000000001 , 13.320000000000022 , 87 , 37 , 17 , 3536.0000000000014
2008-10-29 , 3.5360000000000014 , 7.336000000000013 , 48 , 75 , 13 , 2723.9999999999895
2008-10-30 , 2.7239999999999895 , 6.513000000000005 , 41 , 3 , 98 , -3900.0000000000055
2008-10-31 , -3.9000000000000057 , 6.643000000000001 , -58 , 0 , 0 , -9.999999999990905
2008-11-01 , -0.009999999999990905 , 0.009999999999990905 , -100 , 370 , 0 , 36.99999999997772
2008-11-02 , 0.03699999999997772 , 0.03699999999997772 , 100 , 12675 , 7259 , -1843.0000000000177
2008-11-03 , -1.8430000000000177 , 7.376000000000005 , -24 , 66 , 40 , 2287.0000000000064
2008-11-04 , 2.287000000000006 , 7.871000000000009 , 29 , 20 , 46 , -3346.99999999998
2008-11-05 , -3.34699999999998 , 5.272999999999996 , -63 , 28 , 62 , -3028.9999999999964
2008-11-06 , -3.0289999999999964 , 4.796999999999997 , -63 , 66 , 47 , 941.9999999999789
2008-11-07 , 0.9419999999999789 , 5.47799999999998 , 17 , 0 , 0 , 15.999999999991132
2008-11-08 , 0.015999999999991132 , 0.015999999999991132 , 100 , 21175 , 0 , 3388.0000000000055
2008-11-09 , 3.3880000000000052 , 3.3880000000000052 , 100 , 12 , 145 , -4108.000000000004
2008-11-10 , -4.108000000000004 , 5.323999999999984 , -77 , 24 , 58 , -2724.9999999999945
2008-11-11 , -2.7249999999999943 , 4.390000000000015 , -62 , 31 , 201 , -8013.0000000000055
2008-11-12 , -8.013000000000005 , 10.234999999999985 , -78 , 32 , 30 , 2753.999999999991
2008-11-13 , 2.7539999999999907 , 6.503000000000014 , 42 , 19 , 56 , -1861.9999999999948
2008-11-14 , -1.8619999999999948 , 4.918999999999983 , -37 , -1 , 1 , -52.99999999999727
2008-11-16 , 0.02800000000002001 , 0.03299999999998704 , 84 , 17166 , -584 , 3965.0000000000036
